0.00,0.00,2.25,0.00,0.56,0.00,3.19,0.19,1.13,0.00,0.00,0.19,0.00
0.46,0.75,1.15,0.38,0.96,0.00,0.02,0.00,1.35,0.02,0.05,0.80,0.00
0.12,0.98,0.66,1.73,0.63,0.02,0.07,0.00,0.62,0.03,0.02,0.93,0.00
0.01,0.75,3.55,0.01,0.81,0.00,1.77,0.25,1.20,0.00,0.10,0.50,0.00
0.10,1.14,2.18,0.41,0.66,0.00,0.20,0.05,0.48,0.00,0.00,0.46,0.00
0.07,1.12,1.35,0.03,0.73,0.00,0.04,0.08,0.34,0.00,0.18,0.80,0.00
0.20,0.59,5.04,0.30,0.20,0.00,1.09,1.38,1.88,0.39,0.00,0.99,0.00
0.40,1.90,2.16,0.01,0.71,0.03,0.46,0.13,0.54,0.11,0.18,0.45,0.00
0.81,4.59,1.59,0.05,0.55,0.02,0.09,0.05,0.98,0.05,0.09,1.87,0.00
0.07,1.25,1.03,0.02,0.49,0.01,0.53,0.06,0.19,0.04,0.46,0.22,0.00
0.12,0.84,4.32,0.11,1.26,0.02,1.87,0.00,0.96,0.11,0.08,0.36,0.00
0.12,0.79,3.09,0.16,0.94,0.00,1.73,0.20,0.63,0.04,0.00,0.65,0.00
0.46,0.64,2.25,0.00,0.64,0.00,1.60,0.00,0.83,0.05,0.46,0.50,0.00
0.16,2.50,2.32,0.49,0.60,0.01,0.29,0.00,0.60,0.03,0.08,0.56,0.00
0.32,1.77,2.25,1.81,1.20,0.10,0.20,0.00,0.59,0.19,0.11,0.76,0.00
0.06,1.17,2.51,2.97,0.52,0.06,0.06,0.00,1.28,0.00,0.00,0.70,0.00
0.04,0.60,2.90,0.68,3.38,0.44,0.85,0.77,0.52,0.08,0.00,1.93,0.00
0.07,1.01,4.22,0.07,1.05,0.03,1.90,0.85,1.47,0.03,0.03,0.65,0.00
0.15,0.39,3.44,0.12,0.89,0.04,3.44,0.00,2.01,0.00,0.35,0.74,0.00
0.00,0.36,2.14,0.36,1.07,0.00,1.43,0.00,0.00,0.00,0.00,0.00,0.00
0.09,0.17,5.40,0.21,0.43,0.04,2.78,0.94,1.28,0.00,0.09,1.28,0.00
0.15,1.60,1.65,0.05,0.64,0.02,0.41,0.07,1.07,0.02,0.02,0.70,0.00
0.04,0.45,3.19,0.31,0.88,0.02,1.97,0.29,0.90,0.02,0.04,0.78,0.00
0.00,0.22,1.96,0.00,2.62,0.00,1.31,1.31,1.09,0.00,0.22,0.00,0.00
0.28,2.67,1.60,0.02,0.69,0.01,0.67,0.05,0.59,0.16,0.75,0.28,0.00
0.20,1.60,1.52,0.05,1.21,0.01,0.05,0.00,1.06,0.18,0.05,1.15,0.00
0.00,0.09,4.23,0.00,0.54,0.00,1.98,0.54,0.99,0.00,0.09,3.69,0.00
0.05,1.45,1.25,3.75,0.70,0.08,0.08,0.00,0.69,0.05,0.03,0.69,0.00
0.00,0.45,3.60,0.00,1.95,0.00,0.30,0.60,0.60,0.00,0.00,3.90,0.00
0.21,0.93,2.97,1.36,1.13,0.05,0.46,0.01,0.85,0.03,0.03,0.59,0.00
0.01,0.83,1.14,2.71,0.76,0.09,0.08,0.00,0.91,0.04,0.01,0.58,0.00
0.36,1.48,2.23,0.50,0.33,0.03,0.12,0.03,0.53,0.05,0.15,0.97,0.00
0.41,4.24,0.72,0.01,0.48,0.00,1.64,0.04,0.74,0.03,0.44,0.69,0.00
0.07,0.50,3.27,0.11,0.21,0.00,2.63,0.57,1.42,0.04,0.00,1.42,0.00
0.15,1.45,1.91,1.18,0.53,0.02,0.17,0.00,0.54,0.03,0.14,0.82,0.00
0.21,0.64,1.91,0.00,3.18,0.00,2.33,0.42,1.70,0.00,0.21,1.27,0.00
0.03,2.25,1.93,0.00,4.21,0.06,0.03,0.16,0.13,0.06,0.10,0.58,0.00
0.07,0.73,2.65,0.08,0.49,0.02,1.78,0.69,1.21,0.06,0.00,0.27,0.00
0.28,1.76,1.96,6.24,0.91,0.01,0.07,0.01,0.81,0.06,0.09,0.79,0.00
3.43,2.56,2.74,1.19,1.10,2.63,0.23,0.03,0.72,0.06,0.44,0.59,0.00
0.27,1.22,1.80,1.49,0.52,0.00,0.24,0.01,0.60,0.10,0.16,0.69,0.00
0.00,0.93,3.31,0.29,0.52,0.00,3.37,0.00,1.51,0.00,0.00,2.50,0.00
0.00,0.48,3.61,0.02,0.40,0.00,4.72,0.66,1.32,0.00,0.26,3.83,0.00
0.00,0.00,5.21,0.00,0.65,0.00,2.60,1.95,1.30,0.00,0.00,1.30,0.00
0.13,0.07,3.25,0.13,0.72,0.00,2.80,0.39,1.43,0.07,0.26,1.56,0.00
3.04,1.69,2.03,0.74,2.70,1.15,0.81,0.47,0.88,0.14,0.00,0.88,0.00
0.00,0.00,4.08,0.00,0.00,0.00,0.00,0.00,2.04,0.00,1.02,0.00,1.00
0.00,1.11,1.18,0.00,0.00,0.00,1.04,0.07,1.18,0.56,0.42,1.67,1.00
0.00,1.34,3.58,0.00,0.00,0.00,1.79,1.79,2.69,0.00,0.00,0.45,1.00
0.29,1.69,1.17,0.00,0.12,0.00,1.17,0.00,1.98,0.06,0.53,0.35,1.00
0.62,5.98,2.27,0.00,0.00,0.00,2.89,0.62,2.89,0.41,1.44,1.24,1.00
0.00,0.00,4.22,0.00,0.84,0.00,0.00,1.69,0.00,0.00,0.84,1.69,1.00
0.29,0.17,1.89,0.06,0.29,0.00,1.44,0.06,3.27,0.40,0.06,0.80,1.00
0.00,2.26,2.11,0.00,1.69,0.14,2.54,0.85,0.28,1.69,6.06,1.83,1.00
0.27,0.20,1.38,0.00,0.00,0.00,0.57,0.00,0.47,0.49,0.02,0.96,1.00
0.00,0.00,3.39,0.00,0.00,0.00,0.00,0.00,0.00,10.17,1.69,6.78,1.00
0.00,0.00,0.73,0.00,0.00,0.00,2.18,0.00,0.73,0.00,0.00,2.18,1.00
0.07,2.97,3.04,0.09,0.22,0.00,1.48,1.11,0.69,0.04,0.64,0.11,1.00
0.00,0.10,6.00,0.19,1.14,0.00,2.38,0.29,0.67,0.10,0.29,1.05,1.00
0.00,2.33,3.63,0.00,0.26,0.00,1.81,0.00,2.07,0.00,0.78,2.59,1.00
0.55,0.96,0.82,0.00,0.14,0.00,0.27,0.14,0.96,1.51,0.27,1.10,1.00
0.00,0.88,7.05,0.00,3.52,0.00,2.64,0.00,0.88,1.76,2.64,0.88,1.00
0.18,0.18,1.09,0.00,1.45,0.00,2.00,0.00,3.99,0.00,0.18,0.73,1.00
0.15,0.75,2.15,0.05,0.00,0.00,0.55,0.00,0.70,1.60,0.20,0.90,1.00
0.28,2.95,1.47,0.02,0.04,0.00,0.09,0.07,1.11,0.17,0.54,2.23,1.00
0.11,2.98,1.98,0.00,0.07,0.00,0.04,0.07,0.99,0.39,0.32,0.85,1.00
0.00,0.27,4.07,0.00,0.00,0.00,1.36,0.27,1.36,0.00,0.54,0.54,1.00
0.00,0.00,3.12,0.00,0.00,0.00,0.52,0.00,2.08,0.00,3.65,2.60,1.00
0.24,5.17,1.77,0.02,0.02,0.00,0.10,0.00,0.96,0.06,0.20,1.65,1.00
0.00,0.10,4.37,0.00,0.10,0.00,1.89,0.10,2.58,0.10,0.10,0.30,1.00
0.00,0.28,1.45,0.04,0.08,0.00,0.81,0.04,1.13,0.00,0.00,0.48,1.00
0.00,0.00,2.43,0.00,0.00,0.00,0.00,0.00,0.00,2.43,0.00,4.87,1.00
0.00,0.34,4.40,0.17,0.34,0.34,2.54,0.17,2.03,0.00,1.18,5.92,1.00
0.00,2.56,2.87,0.00,0.85,0.00,2.17,0.78,1.24,0.62,2.02,1.63,1.00
0.00,1.90,1.90,0.00,0.00,0.00,1.90,0.00,0.00,0.00,0.00,0.00,1.00
0.00,0.22,2.35,0.00,0.00,0.00,1.01,0.00,1.01,0.22,0.00,0.45,1.00
0.12,0.49,1.07,0.00,0.04,0.00,0.62,0.00,0.86,0.94,0.04,1.56,1.00
0.12,1.29,1.65,0.00,1.29,0.00,0.82,0.12,0.35,0.35,0.71,1.18,1.00
0.00,4.62,3.08,0.00,0.00,0.00,3.08,9.24,1.54,0.00,2.31,3.08,1.00
0.10,0.30,0.30,0.00,0.00,0.00,0.40,0.10,0.10,0.30,0.10,0.50,1.00
0.00,0.49,4.12,0.00,0.24,0.00,0.24,0.24,3.40,0.49,1.46,0.73,1.00
